attribute_set,categories,sku,name,meta_title,meta_description,url_key,url_path,product_country,price,weight,short_description,meta_keyword,qty,manufacturer,articul_magazin,units,packing,is_in_stock
Default,Аксесуари для малювання,Z-00006377,"палітра Прайд овальна 11 відділень","палітра Прайд овальна 11 відділень","палітра Прайд овальна 11 відділень",Z-00006377,Z-00006377.html,,9.50,,"палітра Прайд овальна 11 відділень",,100,ПРАЙД,,шт,,1
Default,Аксесуари для малювання,Z-00010245,"палітра Прайд овальна 13 відділень","палітра Прайд овальна 13 відділень","палітра Прайд овальна 13 відділень",Z-00010245,Z-00010245.html,,9.90,,"палітра Прайд овальна 13 відділень",,100,ПРАЙД,,шт,,1
Default,Аксесуари для малювання,Z-00010252,"палітра Прайд овальна 15 відділень","палітра Прайд овальна 15 відділень","палітра Прайд овальна 15 відділень",Z-00010252,Z-00010252.html,,10.90,,"палітра Прайд овальна 15 відділень",,100,ПРАЙД,,шт,,1
Default,Аксесуари для малювання,Z-00009057,"палітра Х-М художня без лунок","палітра Х-М художня без лунок","палітра Х-М художня без лунок",Z-00009057,Z-00009057.html,,13.00,,"палітра Х-М художня без лунок",,100,Х-М,,шт,,1
Default,Аксесуари для малювання,Z-00014528,"палітра Х-М, біла","палітра Х-М, біла","палітра Х-М, біла",Z-00014528,Z-00014528.html,,7.50,,"палітра Х-М, біла",,100,Х-М,,шт,50,1
Default,Аксесуари для малювання,Z-00000775,"палітра Х-М, кольорова","палітра Х-М, кольорова","палітра Х-М, кольорова",Z-00000775,Z-00000775.html,,5.80,,"палітра Х-М, кольорова",,100,Х-М,,шт,50,1
Default,Аксесуари для малювання,Z-00006147,"стакан непроливайка Х-M","стакан непроливайка Х-M","стакан непроливайка Х-M",Z-00006147,Z-00006147.html,,4.90,,"стакан непроливайка Х-M",,100,Х-М,922330,шт,12/120,1
Default,Аксесуари для малювання,Z-00006825,"стакан непроливайка Х-М ПОДВІЙНИЙ","стакан непроливайка Х-М ПОДВІЙНИЙ","стакан непроливайка Х-М ПОДВІЙНИЙ",Z-00006825,Z-00006825.html,,7.50,,"стакан непроливайка Х-М ПОДВІЙНИЙ",,100,Х-М,922300,шт,40,1
Default,Аксесуари для пластиліну,Z-00015089,"дошка LK ГРУША + стек","дошка LK ГРУША + стек","дошка LK ГРУША + стек",Z-00015089,Z-00015089.html,,8.90,,"дошка LK ГРУША + стек",,100,LK,924600,шт,10/250,1
Default,Аксесуари для пластиліну,Z-00015088,"дошка LK ПОРОСЯ + стек","дошка LK ПОРОСЯ + стек","дошка LK ПОРОСЯ + стек",Z-00015088,Z-00015088.html,,8.90,,"дошка LK ПОРОСЯ + стек",,100,LK,,шт,20/300,1
