attribute_set,categories,sku,name,meta_title,meta_description,url_key,url_path,product_country,price,weight,short_description,meta_keyword,qty,manufacturer,articul_magazin,units,packing,is_in_stock
Default,Аксесуари для дисків,0000008469,"CD-BOX-1CD Jewel прозорий","CD-BOX-1CD Jewel прозорий","CD-BOX-1CD Jewel прозорий",0000008469,0000008469.html,,10.00,,"CD-BOX-1CD Jewel прозорий",,100,,,шт,200,1
Default,Аксесуари для дисків,Z-00006388,"CD-BOX-1CD Jewel чорний","CD-BOX-1CD Jewel чорний","CD-BOX-1CD Jewel чорний",Z-00006388,Z-00006388.html,,10.00,,"CD-BOX-1CD Jewel чорний",,100,,,шт,200,1
Default,Аксесуари для дисків,0000005935,"CD-BOX-1CD Slim прозорий","CD-BOX-1CD Slim прозорий","CD-BOX-1CD Slim прозорий",0000005935,0000005935.html,,10.00,,"CD-BOX-1CD Slim прозорий",,100,,,шт,200,1
Default,Аксесуари для дисків,Z-00004681,"Конверт ПАПЕРОВИЙ 1CD","Конверт ПАПЕРОВИЙ 1CD","Конверт ПАПЕРОВИЙ 1CD",Z-00004681,Z-00004681.html,,0.80,,"Конверт ПАПЕРОВИЙ 1CD",,100,,,шт,100,1
Default,Диск CD-RW,Z-00013841,"Esperanza 700Mb bulk 10 12x","Esperanza 700Mb bulk 10 12x","Esperanza 700Mb bulk 10 12x",Z-00013841,Z-00013841.html,,13.40,,"Esperanza 700Mb bulk 10 12x",,100,ESPERANZA,,шт,10/600,1
Default,Диск CD-RW,Z-00003115,"Esperanza 700Mb bulk 50 12x","Esperanza 700Mb bulk 50 12x","Esperanza 700Mb bulk 50 12x",Z-00003115,Z-00003115.html,,13.40,,"Esperanza 700Mb bulk 50 12x",,100,ESPERANZA,,шт,50/600,1
Default,Диск CD-RW,Z-00002485,"Esperanza 700Mb slim 12x","Esperanza 700Mb slim 12x","Esperanza 700Mb slim 12x",Z-00002485,Z-00002485.html,,14.50,,"Esperanza 700Mb slim 12x",,100,ESPERANZA,,шт,10/200,1
Default,Диск CD-RW,Z-00007898,"Videx 700Mb bulk 10 10x","Videx 700Mb bulk 10 10x","Videx 700Mb bulk 10 10x",Z-00007898,Z-00007898.html,,12.90,,"Videx 700Mb bulk 10 10x",,100,VIDEX,,шт,10/600,1
Default,Диск CD-RW,Z-00002765,"Videx 700Mb bulk 50 10x","Videx 700Mb bulk 50 10x","Videx 700Mb bulk 50 10x",Z-00002765,Z-00002765.html,,12.90,,"Videx 700Mb bulk 50 10x",,100,VIDEX,,шт,50/600,1
Default,Диск CD-RW,Z-00008497,"Videx 700Mb slim 10x","Videx 700Mb slim 10x","Videx 700Mb slim 10x",Z-00008497,Z-00008497.html,,23.40,,"Videx 700Mb slim 10x",,100,VIDEX,,шт,10/200,1
